flip_angle_deg,refocusing_angle_deg,tr_ms,te_ms,bandwidth_khz,sequence_factor,max_relative_sar,mean_relative_sar,artifact_risk_proxy,snr_preservation_proxy,sar_rank_proxy,artifact_control_proxy,optimization_score
90.0,110.0,5000.0,8.0,320.0,0.45,0.00013234169455245137,5.5532549595227465e-05,0.41666666666666663,0.9882117688026186,0.9159722183689163,0.7058823529411765,0.8851216171420921
90.0,120.0,5000.0,8.0,320.0,0.45,0.0001574975613038987,6.608832336496562e-05,0.41666666666666663,0.9882117688026186,0.8999999955962218,0.7058823529411765,0.8779341168943795
90.0,110.0,4200.0,8.0,320.0,0.45,0.00015754964260850102,6.611018034163862e-05,0.41666666666666663,0.9882117688026186,0.8999669232219768,0.7058823529411765,0.8779192343259693
90.0,110.0,5000.0,8.0,320.0,0.55,0.0001617509697098285,6.787311576772481e-05,0.41666666666666663,0.9882117688026186,0.8972993786180892,0.7058823529411765,0.8767188392542198
90.0,110.0,5000.0,10.0,320.0,0.45,0.00013234169455245137,5.5532549595227465e-05,0.5208333333333334,0.9882117688026186,0.9159722183689163,0.6575342465753424,0.8730345905506336
80.0,110.0,5000.0,8.0,200.0,0.45,0.00010456627933308482,4.3877567804884166e-05,0.6666666666666666,1.1111111111111112,0.9336076821092195,0.6000000000000001,0.8701234569491488
90.0,130.0,5000.0,8.0,320.0,0.45,0.00018484088650438935,7.756198465358466e-05,0.41666666666666663,0.9882117688026186,0.8826388927421949,0.7058823529411765,0.8701216206100675
90.0,120.0,4200.0,8.0,320.0,0.45,0.00018749709124676883,7.867657404858619e-05,0.41666666666666663,0.9882117688026186,0.8809523778068251,0.7058823529411765,0.869362688889151
70.0,110.0,5000.0,8.0,200.0,0.45,8.005855488590896e-05,3.359376569278538e-05,0.6666666666666666,0.9722222222222222,0.9491683773143066,0.6000000000000001,0.8687924364581047
90.0,120.0,5000.0,8.0,320.0,0.55,0.00019249701290391386,8.077461825450882e-05,0.41666666666666663,0.9882117688026186,0.8777777711721105,0.7058823529411765,0.8679341159035294
90.0,110.0,4200.0,8.0,320.0,0.55,0.00019256067753303796,8.08013355708681e-05,0.41666666666666663,0.9882117688026186,0.8777373444882797,0.7058823529411765,0.8679159238958056
90.0,120.0,5000.0,10.0,320.0,0.45,0.0001574975613038987,6.608832336496562e-05,0.5208333333333334,0.9882117688026186,0.8999999955962218,0.6575342465753424,0.865847090302921
90.0,110.0,4200.0,10.0,320.0,0.45,0.00015754964260850102,6.611018034163862e-05,0.5208333333333334,0.9882117688026186,0.8999669232219768,0.6575342465753424,0.8658322077345108
90.0,110.0,5000.0,10.0,320.0,0.55,0.0001617509697098285,6.787311576772481e-05,0.5208333333333334,0.9882117688026186,0.8972993786180892,0.6575342465753424,0.8646318126627612
80.0,120.0,5000.0,8.0,200.0,0.45,0.00012444252206478268,5.22179325344041e-05,0.6666666666666666,1.1111111111111112,0.920987653831679,0.6000000000000001,0.8644444442242556
70.0,120.0,5000.0,8.0,200.0,0.45,9.527630027150735e-05,3.997935709776357e-05,0.6666666666666666,0.9722222222222222,0.9395061686803823,0.6000000000000001,0.8644444425728387
70.0,110.0,4200.0,8.0,200.0,0.45,9.530780516797677e-05,3.999257387476973e-05,0.6666666666666666,0.9722222222222222,0.9394861700226539,0.6000000000000001,0.8644354431768609
80.0,110.0,4200.0,8.0,200.0,0.45,0.00012448366032913327,5.223520201980136e-05,0.6666666666666666,1.1111111111111112,0.9209615229128139,0.6000000000000001,0.8644326853107663
90.0,110.0,5000.0,8.0,320.0,0.7,0.00020586485334206372,8.638395229354501e-05,0.41666666666666663,0.9882117688026186,0.869290138258378,0.7058823529411765,0.8641146810923499
70.0,110.0,5000.0,8.0,200.0,0.55,9.784934809431434e-05,4.105904372408986e-05,0.6666666666666666,0.9722222222222222,0.9378724660550171,0.6000000000000001,0.8637092763914244
80.0,110.0,5000.0,8.0,200.0,0.55,0.0001278032286791131,5.3628140449291095e-05,0.6666666666666666,1.1111111111111112,0.9188538306308668,0.6000000000000001,0.8634842237838901
90.0,110.0,5000.0,12.0,320.0,0.45,0.00013234169455245137,5.5532549595227465e-05,0.625,0.9882117688026186,0.9159722183689163,0.6153846153846154,0.8624971827529518
90.0,110.0,5000.0,8.0,200.0,0.45,0.00013234169455245137,5.5532549595227465e-05,0.6666666666666666,1.25,0.9159722183689163,0.6000000000000001,0.8621874982660124
80.0,110.0,5000.0,8.0,320.0,0.45,0.00010456627933308482,4.3877567804884166e-05,0.41666666666666663,0.8784104611578832,0.9336076821092195,0.7058823529411765,0.8601171835318079
90.0,130.0,4200.0,8.0,320.0,0.45,0.00022004867787472904,9.233570744981989e-05,0.41666666666666663,0.9882117688026186,0.8602843788211033,0.7058823529411765,0.8600620893455762
70.0,130.0,5000.0,8.0,200.0,0.45,0.00011181731679243967,4.6920209570089355e-05,0.6666666666666666,0.9722222222222222,0.9290037797187871,0.6000000000000001,0.8597183675401209
70.0,120.0,4200.0,8.0,200.0,0.45,0.0001134241683757864,4.7594468924216926e-05,0.6666666666666666,0.9722222222222222,0.9279835399101647,0.6000000000000001,0.8592592596262408
70.0,120.0,5000.0,8.0,200.0,0.55,0.0001164488130598329,4.8863657866604626e-05,0.6666666666666666,0.9722222222222222,0.9260630962770724,0.6000000000000001,0.8583950599913492
90.0,130.0,5000.0,8.0,320.0,0.55,0.00022591663582716137,9.479798609390855e-05,0.41666666666666663,0.9882117688026186,0.8565586393452744,0.7058823529411765,0.8583855065814532
70.0,110.0,4200.0,8.0,200.0,0.55,0.00011648731742752716,4.887981413048692e-05,0.6666666666666666,0.9722222222222222,0.9260386498033669,0.6000000000000001,0.8583840590781818
80.0,130.0,5000.0,8.0,200.0,0.45,0.00014604712487198412,6.128355016699061e-05,0.6666666666666666,1.1111111111111112,0.9072702260468155,0.6000000000000001,0.858271601721067
90.0,130.0,5000.0,10.0,320.0,0.45,0.00018484088650438935,7.756198465358466e-05,0.5208333333333334,0.9882117688026186,0.8826388927421949,0.6575342465753424,0.8580345940186089
80.0,120.0,4200.0,8.0,200.0,0.45,0.00014814584574196488,6.216420297278091e-05,0.6666666666666666,1.1111111111111112,0.9059376868027663,0.6000000000000001,0.8576719590612448
90.0,120.0,4200.0,8.0,320.0,0.55,0.0002291631099069491,9.616026363801211e-05,0.41666666666666663,0.9882117688026186,0.8544973408666124,0.7058823529411765,0.8574579222660553
80.0,110.0,3500.0,8.0,200.0,0.45,0.00014938040112610906,6.268224387895316e-05,0.6666666666666666,1.0517475169954873,0.9051538252934876,0.6000000000000001,0.8573192213820694
90.0,120.0,4200.0,10.0,320.0,0.45,0.00018749709124676883,7.867657404858619e-05,0.5208333333333334,0.9882117688026186,0.8809523778068251,0.6575342465753424,0.8572756622976925
80.0,120.0,5000.0,8.0,200.0,0.55,0.00015209641424007714,6.382192805176601e-05,0.6666666666666666,1.1111111111111112,0.9034293387806308,0.6000000000000001,0.8565432024512839
80.0,110.0,4200.0,8.0,200.0,0.55,0.00015214670565910637,6.384302832884714e-05,0.6666666666666666,1.1111111111111112,0.9033974113887164,0.6000000000000001,0.8565288351249224
80.0,110.0,5000.0,10.0,200.0,0.45,0.00010456627933308482,4.3877567804884166e-05,0.8333333333333334,1.1111111111111112,0.9336076821092195,0.5454545454545454,0.8564870933127852
70.0,110.0,5000.0,8.0,200.0,0.7,0.0001245355379069224,5.225696804700419e-05,0.6666666666666666,0.9722222222222222,0.9209285881566375,0.6000000000000001,0.8560845313371536
90.0,120.0,5000.0,10.0,320.0,0.55,0.00019249701290391386,8.077461825450882e-05,0.5208333333333334,0.9882117688026186,0.8777777711721105,0.6575342465753424,0.8558470893120709
90.0,110.0,4200.0,10.0,320.0,0.55,0.00019256067753303796,8.08013355708681e-05,0.5208333333333334,0.9882117688026186,0.8777373444882797,0.6575342465753424,0.8558288973043471
90.0,120.0,5000.0,12.0,320.0,0.45,0.0001574975613038987,6.608832336496562e-05,0.625,0.9882117688026186,0.8999999955962218,0.6153846153846154,0.8553096825052392
90.0,110.0,4200.0,12.0,320.0,0.45,0.00015754964260850102,6.611018034163862e-05,0.625,0.9882117688026186,0.8999669232219768,0.6153846153846154,0.855294799936829
70.0,110.0,5000.0,10.0,200.0,0.45,8.005855488590896e-05,3.359376569278538e-05,0.8333333333333334,0.9722222222222222,0.9491683773143066,0.5454545454545454,0.855156072821741
90.0,120.0,5000.0,8.0,200.0,0.45,0.0001574975613038987,6.608832336496562e-05,0.6666666666666666,1.25,0.8999999955962218,0.6000000000000001,0.8549999980182998
90.0,110.0,4200.0,8.0,200.0,0.45,0.00015754964260850102,6.611018034163862e-05,0.6666666666666666,1.25,0.8999669232219768,0.6000000000000001,0.8549851154498896
80.0,120.0,5000.0,8.0,320.0,0.45,0.00012444252206478268,5.22179325344041e-05,0.41666666666666663,0.8784104611578832,0.920987653831679,0.7058823529411765,0.8544381708069146
80.0,110.0,4200.0,8.0,320.0,0.45,0.00012448366032913327,5.223520201980136e-05,0.41666666666666663,0.8784104611578832,0.9209615229128139,0.7058823529411765,0.8544264118934254
